#name	name2
NM_001376549.1	SGIP1
NM_001376535.1	SGIP1
NM_001376554.1	SGIP1
NM_001376551.1	SGIP1
NM_001308203.2	SGIP1
NM_001376545.1	SGIP1
NM_001376541.1	SGIP1
NM_001376550.1	SGIP1
NM_001376547.1	SGIP1
NM_001376539.1	SGIP1
NM_001376534.1	SGIP1
NM_001376542.1	SGIP1
NM_001376556.1	SGIP1
NM_001376557.1	SGIP1
NM_001376555.1	SGIP1
NM_001376552.1	SGIP1
NM_001376536.1	SGIP1
NM_001350218.2	SGIP1
NM_001376544.1	SGIP1
NM_001376543.1	SGIP1
NM_001376537.1	SGIP1
NM_001376548.1	SGIP1
NM_001376540.1	SGIP1
NM_032291.4	SGIP1
NM_001376546.1	SGIP1
NM_001376538.1	SGIP1
NM_001350217.2	SGIP1
NM_001379618.1	SLC45A1
NM_001379617.1	SLC45A1
NM_001379616.1	SLC45A1
NM_001379615.1	SLC45A1
NM_001080397.3	SLC45A1
NM_001379614.1	SLC45A1
NM_001145278.2	NECAP2
NM_001145277.2	NECAP2
NM_018090.5	NECAP2
NM_013943.3	CLIC4
NM_001376727.1	AZIN2
NM_001376730.1	AZIN2
NM_001293562.2	AZIN2
NM_001376732.1	AZIN2
NM_001350401.2	AZIN2
NM_001376729.1	AZIN2
NM_001376725.1	AZIN2
NM_001376722.1	AZIN2
NM_001350400.2	AZIN2
NM_001350398.2	AZIN2
NM_052998.4	AZIN2
NM_001301824.2	AZIN2
NM_001301823.2	AZIN2
NM_001376724.1	AZIN2
NM_001350399.2	AZIN2
NR_146649.2	AZIN2
NR_146648.2	AZIN2
NM_001301826.1	AZIN2
NM_001301825.1	AZIN2
NM_001350402.1	AZIN2
NR_126031.1	AZIN2
NM_001323574.2	AGBL4
NM_001323573.2	AGBL4
NM_032785.4	AGBL4
NM_001323575.2	AGBL4
NR_136623.2	AGBL4
NM_001379461.1	DAB1
NM_003243.5	TGFBR3
NM_001195683.2	TGFBR3
NM_001195684.1	TGFBR3
NR_036634.2	TGFBR3
NM_001918.5	DBT
NM_001303229.2	PRUNE1
NM_001303243.2	PRUNE1
NM_001303242.2	PRUNE1
NM_021222.3	PRUNE1
NR_130130.2	PRUNE1
NR_130132.2	PRUNE1
NR_130131.2	PRUNE1
NR_130135.2	PRUNE1
NM_001363558.2	OR10J1
NM_001363557.2	OR10J1
NM_022457.7	COP1
NM_001001740.4	COP1
NM_001286644.2	COP1
NM_030806.4	C1orf21
NM_001366241.1	LIN9
NM_173083.3	LIN9
NM_001366237.1	LIN9
NM_001366239.1	LIN9
NM_001270409.1	LIN9
NM_001366238.1	LIN9
NM_001366240.1	LIN9
NM_001366245.2	LIN9
NM_001270410.2	LIN9
NM_001330306.2	C1orf159
NM_001363525.2	C1orf159
NM_017891.5	C1orf159
NM_002744.6	PRKCZ
NM_001033581.3	PRKCZ
NM_001350803.2	PRKCZ
NM_001350806.2	PRKCZ
NM_001350804.2	PRKCZ
NR_146911.2	PRKCZ
NM_001242874.3	PRKCZ
NM_001350805.2	PRKCZ
NM_001033582.3	PRKCZ
NM_199454.3	PRDM16
NM_022114.4	PRDM16
NM_012405.4	ICMT
NM_001349612.2	CAMTA1
NM_001349608.2	CAMTA1
NM_001349610.2	CAMTA1
NM_001349609.2	CAMTA1
NM_015215.4	CAMTA1
NR_149058.1	KAZN-AS1
NR_135054.1	LOC105378614
NM_032409.3	PINK1
NR_046507.1	PINK1-AS
NM_032236.8	USP48
NM_001330394.3	USP48
NM_001350168.2	USP48
NM_001350167.2	USP48
NM_001350166.2	USP48
NM_001350164.2	USP48
NM_004442.7	EPHB2
NM_001309192.2	EPHB2
NM_001309193.2	EPHB2
NM_017449.5	EPHB2
NM_001145454.3	STMN1
NM_006600.4	NUDC
NM_001990.4	EYA3
NM_001282561.2	EYA3
NM_001282562.2	EYA3
NM_001282560.2	EYA3
NM_001376028.1	EPB41
NM_001376026.1	EPB41
NM_001376027.1	EPB41
NM_001376025.1	EPB41
NM_001376023.1	EPB41
NM_001376024.1	EPB41
NM_001166007.2	EPB41
NM_001376022.1	EPB41
NM_004437.4	EPB41
NM_203343.3	EPB41
NM_001166005.2	EPB41
NM_203342.3	EPB41
NM_001166006.2	EPB41
NM_001376020.1	EPB41
NM_001376018.1	EPB41
NM_001376021.1	EPB41
NM_001376019.1	EPB41
NM_001376016.1	EPB41
NM_001376017.1	EPB41
NM_001376015.1	EPB41
NM_001376014.1	EPB41
NM_001376013.1	EPB41
NM_001020658.2	PUM1
NM_014676.3	PUM1
NM_001271878.2	KHDRBS1
NM_006559.3	KHDRBS1
NR_073498.2	KHDRBS1
NR_073499.2	KHDRBS1
NM_001281956.2	CSMD2
NM_052896.5	CSMD2
NR_136703.2	SFPQ
NR_136702.2	SFPQ
NM_005066.3	SFPQ
NM_001321473.2	THRAP3
NM_005119.4	THRAP3
NM_001321471.2	THRAP3
NM_012090.5	MACF1
NM_001355226.2	CCDC30
NM_001355227.2	CCDC30
NM_001355224.2	CCDC30
NM_001329137.2	PTPRF
NM_001329138.2	PTPRF
NM_001329140.2	PTPRF
NM_001329139.2	PTPRF
NM_130440.4	PTPRF
NM_002840.5	PTPRF
NM_001319956.1	RNF220
NM_001376487.1	RNF220
NM_018150.4	RNF220
NM_001376486.1	RNF220
NM_001376488.1	RNF220
NM_001319957.2	RNF220
NM_021639.5	GPBP1L1
NM_001194986.2	TRABD2B
NM_007051.3	FAF1
NM_002867.4	RAB3B
NM_001193617.2	SCP2
NM_001193599.2	SCP2
NM_001193600.2	SCP2
NM_002979.5	SCP2
NM_153035.3	TCEANC2
NR_130900.2	TCEANC2
NM_015306.3	USP24
NM_001365793.1	DAB1
NM_001365792.1	DAB1
NM_001353986.2	DAB1
NM_001353985.2	DAB1
NM_001353983.2	DAB1
NM_001379462.1	DAB1
NM_021080.5	DAB1
NM_001365795.2	DAB1
NM_001365794.2	DAB1
NM_001353980.2	DAB1
NM_001350796.2	FGGY
NM_001350798.2	FGGY
NM_001350797.2	FGGY
NM_001350793.2	FGGY
NM_001350795.2	FGGY
NM_001113411.2	FGGY
NM_018291.5	FGGY
NR_103473.2	FGGY
NM_001145511.2	NFIA
NM_001145512.2	NFIA
NM_005595.5	NFIA
NM_001134673.4	NFIA
NM_001017416.2	USP1
NM_001017415.2	USP1
NM_003368.5	USP1
NM_001206739.2	ITGB3BP
NM_014288.5	ITGB3BP
NM_001347145.2	ITGB3BP
NM_001347148.2	ITGB3BP
NR_045147.2	ITGB3BP
NM_001347147.2	ITGB3BP
NM_020925.4	CACHD1
NM_001293274.2	CACHD1
NM_001003680.3	LEPR
NM_001003679.3	LEPR
NM_002303.6	LEPR
NM_001198687.2	LEPR
NM_001198689.2	LEPR
NM_001198688.1	LEPR
NM_001366836.3	LRRC7
NM_001366837.3	LRRC7
NM_001366838.3	LRRC7
NM_001370785.2	LRRC7
NM_001366839.3	LRRC7
NM_001330635.3	LRRC7
NM_001366840.1	LRRC7
NM_001350216.3	LRRC7
NM_001366841.1	LRRC7
NM_001366842.1	LRRC7
NM_173808.3	NEGR1
NM_001349110.2	ST6GALNAC3
NM_001160011.3	ST6GALNAC3
NM_001349105.2	ST6GALNAC3
NM_001349108.2	ST6GALNAC3
NM_001349107.2	ST6GALNAC3
NM_152996.4	ST6GALNAC3
NM_001349111.2	ST6GALNAC3
NM_001349106.2	ST6GALNAC3
NM_001349109.3	ST6GALNAC3
NR_146056.2	ST6GALNAC3
NM_005482.3	PIGK
NM_001366003.1	ADGRL2
NM_001366004.1	ADGRL2
NM_001366008.1	ADGRL2
NM_001134445.2	DDAH1
NM_012128.4	CLCA4
NR_024602.2	CLCA4
NR_110682.1	PKN2-AS1
NM_032270.5	LRRC8C
NM_001252273.2	DIPK1A
NM_001252271.2	DIPK1A
NM_001006605.5	DIPK1A
NM_001252270.2	DIPK1A
NM_001252269.2	DIPK1A
NM_002061.4	GCLM
NM_001308253.2	GCLM
NR_168377.1	CNN3-DT
NR_168376.1	CNN3-DT
NR_033998.1	CNN3-DT
NR_125991.1	LINC02790
NM_014917.4	NTNG1
NM_001372167.1	NTNG1
NM_001312688.2	NTNG1
NM_001372168.1	NTNG1
NM_001372166.1	NTNG1
NM_001113226.3	NTNG1
NM_001330665.2	NTNG1
NM_001372169.1	NTNG1
NM_001372171.1	NTNG1
NM_001372170.1	NTNG1
NM_001113228.3	NTNG1
NM_006496.4	GNAI3
NM_001204269.2	KCNA2
NM_001370216.1	RAP1A
NM_002884.4	RAP1A
NM_001010935.3	RAP1A
NM_001291896.2	RAP1A
NM_001042679.2	RHOC
NM_175744.5	RHOC
NM_001042678.2	RHOC
NM_001323044.2	PHTF1
NM_006608.3	PHTF1
NM_001323041.2	PHTF1
NM_001323045.2	PHTF1
NM_001323043.2	PHTF1
NM_001323046.2	PHTF1
NM_001323042.2	PHTF1
NR_136564.2	PHTF1
NR_136566.2	PHTF1
NR_136567.2	PHTF1
NR_136565.2	PHTF1
NM_001323049.2	PHTF1
NM_001323047.2	PHTF1
NM_001323050.2	PHTF1
NM_001323048.2	PHTF1
NR_136568.2	PHTF1
NM_001323051.2	PHTF1
NM_001323053.2	PHTF1
NM_001323052.2	PHTF1
NM_006784.3	WDR3
NM_024408.4	NOTCH2
NM_001200001.2	NOTCH2
NM_001277444.1	NBPF9
NM_001037675.3	NBPF9
NM_001201326.1	PDZK1
NM_002614.4	PDZK1
NM_001371361.1	PDZK1
NM_001371359.1	PDZK1
NM_001201325.2	PDZK1
NR_136328.1	LOC101927429
NM_020205.4	OTUD7B
NM_001278191.2	TPM3
NM_001278189.2	TPM3
NM_001043352.2	TPM3
NM_153649.4	TPM3
NM_001278190.2	TPM3
NM_001349679.2	TPM3
NM_001043353.2	TPM3
NM_001043351.2	TPM3
NM_001278188.2	TPM3
NM_001364680.2	TPM3
NM_001364681.2	TPM3
NM_001364679.2	TPM3
NR_103461.2	TPM3
NM_001364683.1	TPM3
NM_001364682.1	TPM3
NM_152263.4	TPM3
NR_002188.3	GBAP1
NM_001323616.2	SMG5
NM_015327.3	SMG5
NM_001323614.2	SMG5
NM_001323615.2	SMG5
NM_001323617.2	SMG5
NM_001375297.1	FCGR2A
NM_021642.5	FCGR2A
NM_001375296.1	FCGR2A
NM_001136219.3	FCGR2A
NM_001204963.2	PBX1
NM_001204961.2	PBX1
NM_002585.4	PBX1
NM_001353131.2	PBX1
NM_001353130.1	PBX1
NR_036683.1	LOC440700
NM_025063.4	MROH9
NM_001163629.2	MROH9
NM_001278252.2	DNM3
NM_001350205.2	DNM3
NM_001136127.3	DNM3
NM_015569.5	DNM3
NM_001350204.2	DNM3
NM_001350206.2	DNM3
NR_146559.2	DNM3
NM_005092.4	TNFSF18
NM_022093.2	TNN
NM_021165.4	BRINP2
NM_170692.4	RASAL2
NM_001252512.2	SOAT1
NM_001252511.2	SOAT1
NM_003101.6	SOAT1
NR_045530.2	SOAT1
NM_032360.4	ACBD6
NM_001137669.2	RGSL1
NM_001366934.1	RGSL1
NM_001174061.2	SMG7
NM_201568.3	SMG7
NM_201569.3	SMG7
NM_001375585.1	SMG7
NM_173156.3	SMG7
NM_001375584.1	SMG7
NM_001350222.2	SMG7
NM_001331007.2	SMG7
NM_001350219.2	SMG7
NM_001350221.2	SMG7
NM_001350220.2	SMG7
NM_000963.4	PTGS2
NM_194314.3	ZBTB41
NR_135153.2	ZBTB41
NM_133494.3	NEK7
NR_147896.1	LINC02789
NM_001167858.2	PPP1R12B
NM_001167857.2	PPP1R12B
NM_002481.4	PPP1R12B
NM_001331029.2	PPP1R12B
NM_001377446.1	SRGAP2
NM_001300952.2	SRGAP2
NM_001377445.1	SRGAP2
NM_001377447.1	SRGAP2
NM_001170637.4	SRGAP2
NM_015326.5	SRGAP2
NM_001377444.1	SRGAP2
NM_001170564.3	HHAT
NM_001122834.4	HHAT
NM_001170587.3	HHAT
NM_001170588.3	HHAT
NM_018194.6	HHAT
NM_001170580.3	HHAT
NM_018664.3	BATF3
NM_206933.4	USH2A
NM_001243512.1	ESRRG
NM_001243513.1	ESRRG
NM_001243509.2	ESRRG
NM_001243507.2	ESRRG
NM_001350125.2	ESRRG
NM_001350123.2	ESRRG
NM_206594.3	ESRRG
NM_206595.3	ESRRG
NM_001243506.2	ESRRG
NM_001243505.2	ESRRG
NM_001350122.2	ESRRG
NM_001134285.3	ESRRG
NM_001350124.2	ESRRG
NM_001243510.3	ESRRG
NM_001243511.3	ESRRG
NM_004446.3	EPRS1
NM_001367479.1	DNAH14
NM_145214.3	TRIM11
NM_018230.3	NUP133
NR_028399.1	TSNAX-DISC1
NR_028400.1	TSNAX-DISC1
NR_028398.1	TSNAX-DISC1
NR_028396.1	TSNAX-DISC1
NR_028397.1	TSNAX-DISC1
NR_028395.1	TSNAX-DISC1
NR_028394.1	TSNAX-DISC1
NR_028393.1	TSNAX-DISC1
NR_034037.1	LINC00582
NM_001301365.1	LYST
NM_000081.4	LYST
NM_001291939.1	MTR
NM_001291940.2	MTR
NM_000254.3	MTR
NR_027247.2	LOC100130331
NM_001374807.1	RGS7
NM_001374808.1	RGS7
NM_001374810.1	RGS7
NM_001374809.1	RGS7
NM_001374815.1	RGS7
NM_001374816.1	RGS7
NM_001374812.1	RGS7
NM_001374813.1	RGS7
NM_001374814.1	RGS7
NM_001374811.1	RGS7
NM_001374806.1	RGS7
NM_001350116.1	RGS7
NM_001350113.2	RGS7
NM_001350115.2	RGS7
NM_001350114.2	RGS7
NM_001364886.1	RGS7
NM_002924.6	RGS7
NM_001282775.2	RGS7
NM_001282778.2	RGS7
NM_001282773.2	RGS7
NM_018012.4	KIF26B
NM_001375963.1	SMYD3
NM_022743.3	SMYD3
NM_001167740.2	SMYD3
NM_001375962.1	SMYD3
NM_032752.3	ZNF496
NM_001001918.1	OR14C36
NR_047524.1	LINC01128
NR_047523.1	LINC01128
NR_047521.1	LINC01128
NR_047519.1	LINC01128
NR_047525.1	LINC01128
NM_001014980.3	C1QTNF12
NM_033489.3	CDK11B
NM_033490.3	CDK11B
NM_033487.3	CDK11B
NM_001787.3	CDK11B
NM_033486.3	CDK11B
NM_001291345.2	CDK11B
NM_001353642.2	NADK
NM_023018.5	NADK
NM_001198993.2	NADK
NM_001198994.2	NADK
NM_001353641.2	NADK
NM_003036.4	SKI
NM_001297605.2	TNFRSF14
NM_003820.4	TNFRSF14
NM_001242672.2	TTC34
NM_001409.4	MEGF6
NM_152492.3	CCDC27
NM_004402.4	DFFB
NM_001320136.2	DFFB
NM_001320132.2	DFFB
NM_001282669.2	DFFB
NR_135150.2	DFFB
NR_135151.2	DFFB
NR_135152.2	DFFB
NR_104222.2	DFFB
NM_001042478.2	AJAP1
NM_018836.4	AJAP1
NM_015102.5	NPHP4
NM_001291593.2	NPHP4
NM_001291594.2	NPHP4
NR_111987.2	NPHP4
NM_001199861.2	KCNAB2
NM_172130.3	KCNAB2
NM_003636.4	KCNAB2
NM_001199860.2	KCNAB2
NM_001199863.2	KCNAB2
NM_001199862.2	KCNAB2
NM_181864.3	ACOT7
NM_007274.4	ACOT7
NM_001265592.2	PLEKHG5
NM_001042663.3	PLEKHG5
NM_198681.4	PLEKHG5
NM_001242701.2	CAMTA1
NR_038934.2	CAMTA1
NR_146202.2	CAMTA1
NR_146203.2	CAMTA1
NM_001349623.1	CAMTA1
NM_001349625.2	CAMTA1
NM_001349621.1	CAMTA1
NM_001349620.1	CAMTA1
NM_001349614.1	CAMTA1
NM_001349617.1	CAMTA1
NM_001377276.1	PER3
NM_001377275.1	PER3
NM_016831.4	PER3
NM_001289864.3	PER3
NM_001289863.3	PER3
NM_001289861.2	PER3
NM_001289862.2	PER3
NM_001561.6	TNFRSF9
NM_012102.4	RERE
NM_001042681.2	RERE
NM_024980.5	GPR157
NM_004285.4	H6PD
NM_001282587.2	H6PD
NM_001009566.3	CLSTN1
NM_001302883.1	CLSTN1
NM_014944.4	CLSTN1
NM_020248.3	CTNNBIP1
NM_001012329.2	CTNNBIP1
NM_006048.5	UBE4B
NM_001105562.3	UBE4B
NM_183416.4	KIF1B
NM_001365951.3	KIF1B
NM_015074.3	KIF1B
NM_001365952.1	KIF1B
NM_001365953.1	KIF1B
NM_004565.3	PEX14
NM_001079843.3	CASZ1
NM_017766.5	CASZ1
NM_001170754.1	C1orf127
NM_001366227.2	C1orf127
NM_001001998.3	EXOSC10
NM_002685.4	EXOSC10
NM_001386500.1	MTOR
NM_004958.4	MTOR
NM_001386501.1	MTOR
NM_001040195.2	AGTRAP
NM_001040194.2	AGTRAP
NM_020350.5	AGTRAP
NM_001040196.2	AGTRAP
NM_001040197.2	AGTRAP
NM_001127660.2	MFN2
NM_014874.4	MFN2
NM_001281430.3	TNFRSF8
NM_001243.5	TNFRSF8
NM_018156.4	VPS13D
NM_015378.4	VPS13D
NM_001013630.2	AADACL4
NM_001370230.1	KAZN
NM_201628.3	KAZN
NM_015209.2	KAZN
NM_001370229.1	KAZN
NM_001018000.4	KAZN
NM_001370231.1	KAZN
NM_001018001.3	KAZN
NM_001017999.3	KAZN
NR_027136.1	TMEM51-AS1
NM_001387888.1	FHAD1
NM_052929.2	FHAD1
NM_001287811.2	DNAJC16
NM_015291.4	DNAJC16
NR_109898.2	DNAJC16
NM_032341.5	DDI2
NM_015001.3	SPEN
NM_018994.3	FBXO42
NM_017940.6	NBPF1
NR_026567.1	ESPNP
NM_002403.4	MFAP2
NM_001135248.2	MFAP2
NM_017459.3	MFAP2
NM_001135247.2	MFAP2
NM_007365.3	PADI2
NM_013358.3	PADI1
NM_018125.4	ARHGEF10L
NR_137288.2	ARHGEF10L
NR_137287.2	ARHGEF10L
NM_001319837.1	ARHGEF10L
NM_001011722.2	ARHGEF10L
NM_001328124.1	ARHGEF10L
NM_001319838.1	ARHGEF10L
NM_030812.3	ACTL8
NM_032880.5	IGSF21
NM_013945.3	PAX7
NM_002584.3	PAX7
NM_001135254.2	PAX7
NM_001136265.2	IFFO2
NM_020765.3	UBR4
NM_001282162.2	CAPZB
NM_001206541.3	CAPZB
NM_001206540.3	CAPZB
NM_004930.5	CAPZB
NM_001313932.2	CAPZB
NM_001349114.3	TMCO4
NM_001349113.3	TMCO4
NM_181719.7	TMCO4
NM_001349112.3	TMCO4
NR_033887.1	LINC01141
NM_001376788.1	HP1BP3
NM_001376791.1	HP1BP3
NM_001376789.1	HP1BP3
NM_001376792.1	HP1BP3
NM_001376787.1	HP1BP3
NM_001376790.1	HP1BP3
NM_001376794.1	HP1BP3
NM_001372052.1	HP1BP3
NM_001376793.1	HP1BP3
NR_164850.1	HP1BP3
NR_164851.1	HP1BP3
NM_016287.5	HP1BP3
NM_001376796.1	HP1BP3
NM_001376795.1	HP1BP3
NM_001376797.1	HP1BP3
NM_003760.4	EIF4G3
NM_001198802.2	EIF4G3
NM_001198801.2	EIF4G3
NM_001198803.2	EIF4G3
NM_001113348.2	ECE1
NM_001369804.2	ALPL
NM_001369805.2	ALPL
NM_001177520.3	ALPL
NM_001127501.4	ALPL
NM_000478.6	ALPL
NM_001369803.2	ALPL
NM_001013693.3	LDLRAD2
NM_001291860.2	HSPG2
NM_005529.7	HSPG2
NM_044472.3	CDC42
NM_001791.4	CDC42
NM_001039802.2	CDC42
NM_001330398.2	ZBTB40
NM_014870.4	ZBTB40
NM_001083621.2	ZBTB40
NM_033631.4	LUZP1
NM_001142546.2	LUZP1
NM_003196.3	TCEA3
NM_004091.4	E2F2
NM_170743.4	IFNLR1
NM_173064.3	IFNLR1
NM_173065.3	IFNLR1
NM_001322854.2	NIPAL3
NM_001322865.2	NIPAL3
NM_001330409.2	NIPAL3
NM_001322861.2	NIPAL3
NM_001322864.2	NIPAL3
NM_001322866.2	NIPAL3
NM_001322860.2	NIPAL3
NM_001322859.2	NIPAL3
NM_001322868.2	NIPAL3
NM_020448.5	NIPAL3
NM_001322858.2	NIPAL3
NM_001322863.2	NIPAL3
NM_001322862.2	NIPAL3
NM_001322856.2	NIPAL3
NM_001322855.2	NIPAL3
NR_136507.2	NIPAL3
NR_136506.2	NIPAL3
NR_136508.2	NIPAL3
NM_001322857.1	NIPAL3
NM_001010980.5	NCMAP
NM_020485.6	RHCE
NM_001330430.4	RHCE
NM_138618.6	RHCE
NM_138617.5	RHCE
NM_138616.5	RHCE
NM_001282564.2	MACO1
NM_018202.6	MACO1
NM_001385184.1	MAN1C1
NM_001289010.2	MAN1C1
NM_020379.4	MAN1C1
NM_001385183.1	MAN1C1
NM_001385182.1	MAN1C1
NM_001385185.1	MAN1C1
NM_031286.4	SH3BGRL3
NM_024674.6	LIN28A
NM_002953.4	RPS6KA1
NM_001330441.2	RPS6KA1
NM_032125.3	TMEM222
NR_037577.2	TMEM222
NR_037576.2	TMEM222
NR_037580.2	TMEM222
NM_006990.5	WASF2
NM_001201404.3	WASF2
NM_001029882.3	AHDC1
NM_001371928.1	AHDC1
NM_001048183.3	PHACTR4
NM_001350158.2	PHACTR4
NM_001350161.2	PHACTR4
NM_001350160.2	PHACTR4
NM_001350159.2	PHACTR4
NR_002909.2	SNHG3
NR_036473.1	SNHG3
NM_001381866.2	RCC1
NM_001048199.3	RCC1
NM_001381865.2	RCC1
NM_001135218.2	TAF12
NM_005644.4	TAF12
NM_005626.5	SRSF4
NM_001195001.2	PTPRU
NM_133178.4	PTPRU
NM_133177.4	PTPRU
NM_005704.5	PTPRU
NM_002379.3	MATN1
NR_034182.1	MATN1-AS1
NM_001369859.1	PTP4A2
NM_001369860.1	PTP4A2
NM_001369858.1	PTP4A2
NM_080391.4	PTP4A2
NM_001195100.2	PTP4A2
NM_001195101.2	PTP4A2
NM_012316.5	KPNA6
NM_004964.3	HDAC1
NM_001291496.2	ZBTB8A
NM_001040441.3	ZBTB8A
NR_111980.2	ZBTB8A
NM_030786.3	SYNC
NM_001161708.2	SYNC
NM_001256121.2	S100PBP
NM_022753.4	S100PBP
NR_135106.1	S100PBP
NR_135107.1	S100PBP
NM_153341.4	RNF19B
NM_001127361.3	RNF19B
NM_001300826.2	RNF19B
NM_001385120.1	PHC2
NM_001385122.1	PHC2
NM_001385119.1	PHC2
NM_001385112.1	PHC2
NM_001385109.1	PHC2
NM_198040.3	PHC2
NM_001385121.1	PHC2
NM_001330488.2	PHC2
NM_001385123.1	PHC2
NR_125978.1	PHC2-AS1
NM_145238.6	ZSCAN20
NM_001377378.1	ZSCAN20
NM_001377379.1	ZSCAN20
NM_001377377.1	ZSCAN20
NM_001377376.1	ZSCAN20
NR_038372.1	CSMD2-AS1
NM_001080418.3	DLGAP3
NM_001375653.1	ZMYM4
NM_005095.3	ZMYM4
NM_001350139.2	ZMYM4
NM_001350140.2	ZMYM4
NM_001350138.2	ZMYM4
NM_024874.5	KIAA0319L
NM_178548.4	TFAP2E
NR_146062.2	AGO4
NM_017629.4	AGO4
NM_177422.3	AGO3
NM_024852.4	AGO3
NM_005202.4	COL8A2
NM_001294347.2	COL8A2
NM_032017.3	STK40
NM_001282546.2	STK40
NM_001282547.2	STK40
NM_000831.4	GRIK3
NM_024700.4	SNIP1
NM_024640.4	YRDC
NM_001350228.1	INPP5B
