id	gender
NA06984	male
NA06985	female
NA06986	male
NA06989	female
NA06994	male
NA07037	female
NA07048	male
NA07051	male
NA07056	female
NA07347	male
NA07357	male
NA10847	female
NA10851	male
NA11829	male
NA11830	female
NA11831	male
NA11832	female
NA11840	female
NA11843	male
NA11881	male
NA11892	female
NA11893	male
NA11894	female
NA11918	female
NA11920	female
NA11930	male
NA11931	female
NA11992	male
NA11994	male
NA11995	female
NA12004	female
NA12005	male
NA12006	female
NA12043	male
NA12044	female
NA12045	male
NA12058	female
NA12144	male
NA12154	male
NA12155	male
NA12156	female
NA12234	female
NA12249	female
NA12272	male
NA12273	female
NA12275	female
NA12282	male
NA12283	female
NA12286	male
NA12287	female
NA12340	male
NA12341	female
NA12342	male
NA12347	male
NA12348	female
NA12383	female
NA12399	male
NA12400	female
NA12413	male
NA12489	female
NA12546	male
NA12716	male
NA12717	female
NA12718	female
NA12749	female
NA12750	male
NA12751	female
NA12760	male
NA12761	female
NA12762	male
NA12763	female
NA12775	male
NA12776	female
NA12777	male
NA12778	female
NA12812	male
NA12813	female
NA12814	male
NA12815	female
NA12827	male
NA12829	male
NA12830	female
NA12842	male
NA12843	female
NA12872	male
NA12873	female
NA12874	male
NA12889	male
NA12890	female
