NA06984	NA06984.1.M_111124_4.bam
NA06985	NA06985.1.M_111124_7.bam
NA06986	NA06986.2.M_111215_4.bam
NA06989	NA06989.3.M_120202_7.bam
NA06994	NA06994.2.M_111215_7.bam
NA07037	NA07037.6.M_120119_4.bam
NA07048	NA07048.6.M_120119_6.bam
NA07051	NA07051.5.M_120131_1.bam
NA07056	NA07056.1.M_111124_3.bam
NA07347	NA07347.7.M_120219_3.bam
NA07357	NA07357.2.M_111216_5.bam
NA10847	NA10847.4.M_120208_4.bam
NA10851	NA10851.4.M_120208_1.bam
NA11829	NA11829.6.M_120217_1.bam
NA11830	NA11830.3.M_120202_4.bam
NA11831	NA11831.7.M_120219_2.bam
NA11832	NA11832.2.M_120131_2.bam
NA11840	NA11840.6.M_120119_5.bam
NA11843	NA11843.4.M_120208_6.bam
NA11881	NA11881.1.M_111124_5.bam
NA11892	NA11892.1.M_111124_2.bam
NA11893	NA11893.7.M_120219_3.bam
NA11894	NA11894.2.M_111215_4.bam
NA11918	NA11918.1.M_111124_3.bam
NA11920	NA11920.2.M_120131_1.bam
NA11930	NA11930.3.M_120202_8.bam
NA11931	NA11931.1.M_111124_8.bam
NA11992	NA11992.6.M_120119_5.bam
NA11994	NA11994.2.M_111216_7.bam
NA11995	NA11995.7.M_120219_5.bam
NA12004	NA12004.4.M_120208_5.bam
NA12005	NA12005.4.M_120208_1.bam
NA12006	NA12006.5.M_120131_1.bam
NA12043	NA12043.2.M_120127_7.bam
NA12044	NA12044.4.M_120208_8.bam
NA12045	NA12045.3.M_120202_3.bam
NA12058	NA12058.5.M_120131_7.bam
NA12144	NA12144.4.M_120208_1.bam
NA12154	NA12154.5.M_120131_3.bam
NA12155	NA12155.4.M_120208_8.bam
NA12156	NA12156.4.M_120208_7.bam
NA12234	NA12234.7.M_120219_6.bam
NA12249	NA12249.1.M_120209_1.bam
NA12272	NA12272.3.M_120202_5.bam
NA12273	NA12273.1.M_111124_4.bam
NA12275	NA12275.7.M_120219_5.bam
NA12282	NA12282.3.M_120202_7.bam
NA12283	NA12283.2.M_111216_5.bam
NA12286	NA12286.2.M_111216_1.bam
NA12287	NA12287.3.M_120202_3.bam
NA12340	NA12340.5.M_120131_7.bam
NA12341	NA12341.1.M_111124_5.bam
NA12342	NA12342.1.M_111124_5.bam
NA12347	NA12347.1.M_111124_7.bam
NA12348	NA12348.3.M_120202_6.bam
NA12383	NA12383.1.M_111124_3.bam
NA12399	NA12399.1.M_120209_4.bam
NA12400	NA12400.2.M_111216_2.bam
NA12413	NA12413.2.M_111215_6.bam
NA12489	NA12489.1.M_111124_2.bam
NA12546	NA12546.3.M_120202_4.bam
NA12716	NA12716.7.M_120219_6.bam
NA12717	NA12717.1.M_111124_3.bam
NA12718	NA12718.1.M_111124_7.bam
NA12749	NA12749.1.M_111124_2.bam
NA12750	NA12750.2.M_111216_2.bam
NA12751	NA12751.2.M_111215_8.bam
NA12760	NA12760.3.M_120202_3.bam
NA12761	NA12761.6.M_120119_2.bam
NA12762	NA12762.4.M_120208_3.bam
NA12763	NA12763.2.M_111216_8.bam
NA12775	NA12775.7.M_120219_5.bam
NA12776	NA12776.6.M_120119_6.bam
NA12777	NA12777.4.M_120208_6.bam
NA12778	NA12778.1.M_111124_4.bam
NA12812	NA12812.1.M_111124_4.bam
NA12813	NA12813.2.M_111216_6.bam
NA12814	NA12814.7.M_120219_3.bam
NA12815	NA12815.1.M_111124_3.bam
NA12827	NA12827.3.M_120202_2.bam
NA12829	NA12829.7.M_120219_4.bam
NA12830	NA12830.1.M_111124_2.bam
NA12842	NA12842.6.M_120119_4.bam
NA12843	NA12843.6.M_120119_4.bam
NA12872	NA12872.2.M_111216_2.bam
NA12873	NA12873.7.M_120219_1.bam
NA12874	NA12874.3.M_120202_2.bam
NA12889	NA12889.3.M_120223_7.bam
NA12890	NA12890.1.M_111124_3.bam
